id,materialId,judulMateri,mode,indicator,difficulty,difficultyLabel,questionType,question,optA,optB,optC,optD,optE,correct,hint1,hint2,hint3,explanation,remedialMaterialId
M1B-F12-SD-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,Harga barang Rp175.000 mendapat voucher Rp25.000 dan ongkir Rp17.000. Total bayar adalah ....,Rp157.000,Rp192.000,Rp184.000,Rp150.000,Rp167.000,E,Ongkir ditambahkan di akhir setelah subtotal dan biaya lain dihitung.,Subtotal = Rp150.000; biaya tambahan = Rp0; ongkir = Rp17.000.,,Total bayar = Rp150.000 + Rp0 + Rp17.000 = Rp167.000.,R2
M1B-F12-SD-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,Harga barang Rp120.000 dan ongkir Rp18.000. Total bayar adalah ....,Rp138.000,Rp120.000,Rp128.000,Rp156.000,Rp115.000,A,Ongkir ditambahkan di akhir setelah subtotal dan biaya lain dihitung.,Subtotal = Rp120.000; biaya tambahan = Rp0; ongkir = Rp18.000.,,Total bayar = Rp120.000 + Rp0 + Rp18.000 = Rp138.000.,R2
M1B-F13-SD-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp250.000 mendapat voucher Rp40.000. Setelah voucher, dikenakan biaya layanan 2,5% dan ongkir Rp15.000. Total bayar adalah ....",Rp255.250,Rp210.000,Rp230.250,Rp215.250,Rp225.000,C,Voucher dikurangkan sebelum biaya layanan dihitung.,"Biaya layanan 2,5% dihitung dari Rp210.000.",,Subtotal = Rp210.000. Biaya layanan = Rp5.250. Total = Rp230.250.,R1/R2
M1B-F13-SD-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp180.000 mendapat voucher Rp25.000. Setelah voucher, dikenakan biaya layanan 4%. Total bayar adalah ....",Rp186.200,Rp155.000,Rp166.200,Rp161.200,Rp167.400,D,Voucher dikurangkan sebelum biaya layanan dihitung.,Biaya layanan 4% dihitung dari Rp155.000.,,Subtotal = Rp155.000. Biaya layanan = Rp6.200. Total = Rp161.200.,R1/R2
M1B-F13-SD-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp180.000 mendapat voucher Rp20.000. Setelah voucher, dikenakan biaya layanan 3% dan ongkir Rp10.000. Total bayar adalah ....",Rp160.000,Rp164.800,Rp174.800,Rp184.800,Rp170.000,C,Voucher dikurangkan sebelum biaya layanan dihitung.,Biaya layanan 3% dihitung dari Rp160.000.,,Subtotal = Rp160.000. Biaya layanan = Rp4.800. Total = Rp174.800.,R1/R2
M1B-F14-SD-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp250.000 mendapat diskon 15%. Setelah diskon, dikenakan PPN 11% dan ongkir Rp20.000. Total bayar adalah ....",Rp212.500,Rp232.500,Rp235.875,Rp273.375,Rp255.875,E,"Hitung harga setelah diskon, lalu PPN, lalu ongkir.","PPN dihitung dari subtotal setelah diskon, yaitu Rp212.500.",,Subtotal = Rp212.500. PPN = Rp23.375. Total = Rp212.500 + Rp23.375 + Rp20.000 = Rp255.875.,R1/R2
M1B-F14-SD-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp320.000 mendapat diskon 25%. Setelah diskon, dikenakan PPN 11% dan ongkir Rp18.000. Total bayar adalah ....",Rp346.400,Rp284.400,Rp240.000,Rp266.400,Rp258.000,B,"Hitung harga setelah diskon, lalu PPN, lalu ongkir.","PPN dihitung dari subtotal setelah diskon, yaitu Rp240.000.",,Subtotal = Rp240.000. PPN = Rp26.400. Total = Rp240.000 + Rp26.400 + Rp18.000 = Rp284.400.,R1/R2
M1B-F14-SD-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp180.000 mendapat diskon 12,5%. Setelah diskon, dikenakan PPN 11% dan ongkir Rp16.000. Total bayar adalah ....",Rp173.500,Rp157.500,Rp174.825,Rp197.325,Rp190.825,E,"Hitung harga setelah diskon, lalu PPN, lalu ongkir.","PPN dihitung dari subtotal setelah diskon, yaitu Rp157.500.",,Subtotal = Rp157.500. PPN = Rp17.325. Total = Rp157.500 + Rp17.325 + Rp16.000 = Rp190.825.,R1/R2
M1B-F15-SD-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I3,2,Sedang,PG,Harga barang Rp300.000 mendapat diskon 10%. Setelah itu dikenakan PPN 11% dan biaya layanan 2%. Total yang benar adalah ....,Rp310.100,Rp305.100,Rp270.000,Rp335.100,Rp275.400,B,Pastikan PPN atau biaya layanan dihitung dari basis yang benar.,Basis perhitungan setelah potongan adalah Rp270.000.,,Subtotal = Rp270.000. PPN = Rp29.700. Biaya layanan = Rp5.400. Ongkir = Rp0. Total = Rp305.100.,R1/R2
M1B-F15-SD-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I3,2,Sedang,PG,Harga barang Rp250.000 mendapat voucher Rp25.000. Setelah itu dikenakan PPN 11% serta ongkir Rp15.000. Total yang benar adalah ....,Rp264.750,Rp249.750,Rp225.000,Rp289.750,Rp279.750,A,Pastikan PPN atau biaya layanan dihitung dari basis yang benar.,Basis perhitungan setelah potongan adalah Rp225.000.,,Subtotal = Rp225.000. PPN = Rp24.750. Biaya layanan = Rp0. Ongkir = Rp15.000. Total = Rp264.750.,R1/R2
M1B-F15-SD-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I3,2,Sedang,PG,Harga barang Rp180.000 mendapat diskon 20%. Setelah itu dikenakan biaya layanan 3% serta ongkir Rp12.000. Total yang benar adalah ....,Rp160.320,Rp196.320,Rp144.000,Rp148.320,Rp172.320,A,Pastikan PPN atau biaya layanan dihitung dari basis yang benar.,Basis perhitungan setelah potongan adalah Rp144.000.,,Subtotal = Rp144.000. PPN = Rp0. Biaya layanan = Rp4.320. Ongkir = Rp12.000. Total = Rp160.320.,R1/R2
M1B-F16-SD-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp180.000 mendapat diskon 10%, biaya layanan 2%, dan ongkir Rp14.000. Total bayar adalah ....",Rp162.000,Rp194.000,Rp193.240,Rp165.240,Rp179.240,E,"Urutannya: potongan dahulu, lalu PPN/layanan, lalu ongkir.",Subtotal setelah potongan adalah Rp162.000.,,Subtotal = Rp162.000. PPN = Rp0. Biaya layanan = Rp3.240. Ongkir = Rp14.000. Total = Rp179.240.,R1/R2
M1B-F16-SD-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp275.000 mendapat voucher Rp25.000, dikenakan PPN 11%, biaya layanan 2%, dan ongkir Rp18.000. Total bayar adalah ....",Rp282.500,Rp293.000,Rp300.500,Rp250.000,Rp318.500,C,"Urutannya: potongan dahulu, lalu PPN/layanan, lalu ongkir.",Subtotal setelah potongan adalah Rp250.000.,,Subtotal = Rp250.000. PPN = Rp27.500. Biaya layanan = Rp5.000. Ongkir = Rp18.000. Total = Rp300.500.,R1/R2
M1B-F16-SD-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,2,Sedang,PG,"Harga barang Rp180.000 mendapat diskon 15%, dikenakan PPN 11%, dan ongkir Rp12.000. Total bayar adalah ....",Rp169.830,Rp192.000,Rp153.000,Rp181.830,Rp193.830,D,"Urutannya: potongan dahulu, lalu PPN/layanan, lalu ongkir.",Subtotal setelah potongan adalah Rp153.000.,,Subtotal = Rp153.000. PPN = Rp16.830. Biaya layanan = Rp0. Ongkir = Rp12.000. Total = Rp181.830.,R1/R2
M1B-PRE-SD-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRETEST,I1,2,Sedang,PG,"Harga barang Rp250.000 mendapat voucher Rp40.000. Setelah voucher, dikenakan biaya layanan 2,5% dan ongkir Rp15.000. Total bayar adalah ....",Rp255.250,Rp210.000,Rp230.250,Rp215.250,Rp225.000,C,,,,Subtotal = Rp210.000. Biaya layanan = Rp5.250. Total = Rp230.250.,R1/R2
M1B-POST-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",POSTTEST,I1,3,Sulit,PG,"Harga sepatu Rp180.000 mendapat voucher Rp20.000. Setelah voucher, dikenakan biaya layanan 3% dan ongkir Rp16.000. Total bayar adalah ....",Rp180.800,Rp201.400,Rp164.800,Rp176.000,Rp185.600,A,,,,Subtotal = Rp160.000. Biaya layanan = Rp4.800. Total = Rp180.800.,R2
M1B-POST-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",POSTTEST,I1,3,Sulit,PG,"Harga barang Rp600.000 mendapat diskon 25% mendapat voucher Rp50.000, dikenakan PPN 11%, biaya layanan 2%, dan ongkir Rp18.000. Total bayar adalah ....",Rp400.000,Rp618.000,Rp470.000,Rp452.000,Rp488.000,C,,,,Subtotal = Rp400.000. PPN = Rp44.000. Biaya layanan = Rp8.000. Ongkir = Rp18.000. Total = Rp470.000.,R1/R2
M1B-F09-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,Rina membeli 2 kaos seharga Rp80.000 per kaos dan 1 topi seharga Rp35.000. Total belanja dikenakan PPN 11% dan ongkir Rp15.000. Total bayar Rina adalah ....,Rp231.450,Rp246.450,Rp210.450,Rp216.450,Rp210.000,A,Hitung total harga barang terlebih dahulu.,Total barang = 2 × Rp80.000 + Rp35.000. Setelah itu hitung PPN dan ongkir.,,Total barang = Rp195.000. PPN = Rp21.450. Total bayar = Rp231.450.,R2
M1B-F09-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga sepatu Rp180.000 mendapat voucher Rp20.000. Setelah voucher, dikenakan biaya layanan 3% dan ongkir Rp16.000. Total bayar adalah ....",Rp180.800,Rp201.400,Rp164.800,Rp176.000,Rp185.600,A,Voucher dikurangkan terlebih dahulu dari harga barang.,Biaya layanan dihitung dari harga setelah voucher.,,Subtotal = Rp160.000. Biaya layanan = Rp4.800. Total = Rp180.800.,R2
M1B-F09-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,Ari membeli 3 buku @Rp25.000 dan 2 pulpen paket @Rp40.000. Total belanja dikenakan biaya layanan 2% dan ongkir Rp18.000. Total bayar Ari adalah ....,Rp173.000,Rp155.000,Rp176.100,Rp158.100,Rp179.200,C,Hitung total harga semua barang terlebih dahulu.,"Setelah total barang diperoleh, hitung biaya layanan dan tambahkan ongkir.",,Total barang = Rp155.000. Biaya layanan = Rp3.100. Total = Rp176.100.,R2
M1B-F10-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp400.000 mendapat diskon 25%. Setelah diskon, dikenakan PPN 11%. Total setelah PPN adalah ....",Rp444.000,Rp300.000,Rp343.000,Rp333.000,Rp366.000,D,Hitung harga setelah diskon 25% terlebih dahulu.,PPN = 11% × Rp300.000.,,Subtotal = Rp300.000. PPN = Rp33.000. Total = Rp333.000.,R1/R2
M1B-F10-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp240.000 mendapat diskon 10%. Setelah diskon, dikenakan PPN 11%. Total setelah PPN adalah ....",Rp263.520,Rp266.400,Rp216.000,Rp249.760,Rp239.760,E,Hitung harga setelah diskon 10% terlebih dahulu.,PPN = 11% × Rp216.000.,,Subtotal = Rp216.000. PPN = Rp23.760. Total = Rp239.760.,R1/R2
M1B-F10-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp275.000 mendapat voucher Rp25.000. Setelah voucher, dikenakan PPN 11%. Total setelah PPN adalah ....",Rp305.250,Rp287.500,Rp277.500,Rp250.000,Rp305.000,C,Voucher dikurangkan terlebih dahulu sebelum menghitung PPN.,PPN = 11% × Rp250.000.,,Subtotal = Rp250.000. PPN = Rp27.500. Total = Rp277.500.,R1/R2
M1B-F11-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,Harga barang Rp350.000 mendapat diskon 20%. Setelah itu dikenakan biaya layanan 4% dan ongkir Rp18.000. Total bayar adalah ....,Rp280.000,Rp291.200,Rp309.200,Rp11.200,Rp298.000,C,Tentukan subtotal sebelum menghitung biaya layanan.,"Biaya layanan dihitung dari Rp280.000, lalu tambahkan biaya lain jika ada.",,Subtotal = Rp280.000. Biaya layanan = Rp11.200. Total bayar = Rp309.200.,R1/R2
M1B-F11-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp500.000 mendapat voucher Rp75.000. Setelah itu dikenakan biaya layanan 2,4%. Total bayar adalah ....",Rp445.400,Rp425.000,Rp10.200,Rp440.200,Rp435.200,E,Tentukan subtotal sebelum menghitung biaya layanan.,"Biaya layanan dihitung dari Rp425.000, lalu tambahkan biaya lain jika ada.",,Subtotal = Rp425.000. Biaya layanan = Rp10.200. Total bayar = Rp435.200.,R1/R2
M1B-F11-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp180.000 mendapat diskon 15%. Setelah itu dikenakan biaya layanan 3,5% dan ongkir Rp12.000. Total bayar adalah ....",Rp158.355,Rp5.355,Rp153.000,Rp170.355,Rp165.000,D,Tentukan subtotal sebelum menghitung biaya layanan.,"Biaya layanan dihitung dari Rp153.000, lalu tambahkan biaya lain jika ada.",,Subtotal = Rp153.000. Biaya layanan = Rp5.355. Total bayar = Rp170.355.,R1/R2
M1B-F12-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp320.000 mendapat diskon 15%, lalu dikenakan PPN 11% dan ongkir Rp20.000. Total bayar adalah ....",Rp272.000,Rp321.920,Rp340.000,Rp282.000,Rp301.920,B,Ongkir ditambahkan di akhir setelah subtotal dan biaya lain dihitung.,Subtotal = Rp272.000; biaya tambahan = Rp29.920; ongkir = Rp20.000.,,Total bayar = Rp272.000 + Rp29.920 + Rp20.000 = Rp321.920.,R2
M1B-F12-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp360.000 mendapat diskon 20%, lalu dikenakan biaya layanan 2% dan ongkir Rp15.000. Total bayar adalah ....",Rp288.000,Rp293.000,Rp308.760,Rp375.000,Rp293.760,C,Ongkir ditambahkan di akhir setelah subtotal dan biaya lain dihitung.,Subtotal = Rp288.000; biaya tambahan = Rp5.760; ongkir = Rp15.000.,,Total bayar = Rp288.000 + Rp5.760 + Rp15.000 = Rp308.760.,R2
M1B-F12-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,Harga barang Rp175.000 mendapat voucher Rp25.000 dan ongkir Rp12.500. Total bayar adalah ....,Rp150.000,Rp162.500,Rp152.500,Rp187.500,Rp175.000,B,Ongkir ditambahkan di akhir setelah subtotal dan biaya lain dihitung.,Subtotal = Rp150.000; biaya tambahan = Rp0; ongkir = Rp12.500.,,Total bayar = Rp150.000 + Rp0 + Rp12.500 = Rp162.500.,R2
M1B-F13-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp300.000 mendapat voucher Rp45.000. Setelah voucher, dikenakan biaya layanan 2,2% dan ongkir Rp18.000. Total bayar adalah ....",Rp305.610,Rp260.610,Rp255.000,Rp278.610,Rp273.000,D,Voucher dikurangkan sebelum biaya layanan dihitung.,"Biaya layanan 2,2% dihitung dari Rp255.000.",,Subtotal = Rp255.000. Biaya layanan = Rp5.610. Total = Rp278.610.,R1/R2
M1B-F13-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp420.000 mendapat voucher Rp70.000. Setelah voucher, dikenakan biaya layanan 3,5% dan ongkir Rp22.000. Total bayar adalah ....",Rp432.250,Rp362.250,Rp384.250,Rp350.000,Rp372.000,C,Voucher dikurangkan sebelum biaya layanan dihitung.,"Biaya layanan 3,5% dihitung dari Rp350.000.",,Subtotal = Rp350.000. Biaya layanan = Rp12.250. Total = Rp384.250.,R1/R2
M1B-F13-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp275.000 mendapat voucher Rp25.000. Setelah voucher, dikenakan biaya layanan 4% dan ongkir Rp14.000. Total bayar adalah ....",Rp274.000,Rp260.000,Rp250.000,Rp285.000,Rp264.000,A,Voucher dikurangkan sebelum biaya layanan dihitung.,Biaya layanan 4% dihitung dari Rp250.000.,,Subtotal = Rp250.000. Biaya layanan = Rp10.000. Total = Rp274.000.,R1/R2
M1B-F14-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp480.000 mendapat diskon 30%. Setelah diskon, dikenakan PPN 11% dan ongkir Rp25.000. Total bayar adalah ....",Rp516.960,Rp372.960,Rp336.000,Rp361.000,Rp397.960,E,"Hitung harga setelah diskon, lalu PPN, lalu ongkir.","PPN dihitung dari subtotal setelah diskon, yaitu Rp336.000.",,Subtotal = Rp336.000. PPN = Rp36.960. Total = Rp336.000 + Rp36.960 + Rp25.000 = Rp397.960.,R1/R2
M1B-F14-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp300.000 mendapat diskon 20%. Setelah diskon, dikenakan PPN 11% dan ongkir Rp18.000. Total bayar adalah ....",Rp326.400,Rp240.000,Rp266.400,Rp284.400,Rp258.000,D,"Hitung harga setelah diskon, lalu PPN, lalu ongkir.","PPN dihitung dari subtotal setelah diskon, yaitu Rp240.000.",,Subtotal = Rp240.000. PPN = Rp26.400. Total = Rp240.000 + Rp26.400 + Rp18.000 = Rp284.400.,R1/R2
M1B-F14-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp375.000 mendapat diskon 18%. Setelah diskon, dikenakan PPN 11% dan ongkir Rp22.500. Total bayar adalah ....",Rp408.825,Rp341.325,Rp307.500,Rp363.825,Rp330.000,D,"Hitung harga setelah diskon, lalu PPN, lalu ongkir.","PPN dihitung dari subtotal setelah diskon, yaitu Rp307.500.",,Subtotal = Rp307.500. PPN = Rp33.825. Total = Rp307.500 + Rp33.825 + Rp22.500 = Rp363.825.,R1/R2
M1B-F15-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I3,3,Sulit,PG,Harga barang Rp400.000 mendapat diskon 25%. Setelah itu dikenakan PPN 11% dan biaya layanan 2% serta ongkir Rp20.000. Total yang benar adalah ....,Rp359.000,Rp300.000,Rp339.000,Rp459.000,Rp379.000,A,Pastikan PPN atau biaya layanan dihitung dari basis yang benar.,Basis perhitungan setelah potongan adalah Rp300.000.,,Subtotal = Rp300.000. PPN = Rp33.000. Biaya layanan = Rp6.000. Ongkir = Rp20.000. Total = Rp359.000.,R1/R2
M1B-F15-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I3,3,Sulit,PG,"Harga barang Rp360.000 mendapat voucher Rp60.000. Setelah itu dikenakan PPN 11% dan biaya layanan 2,5% serta ongkir Rp18.000. Total yang benar adalah ....",Rp340.500,Rp300.000,Rp418.500,Rp376.500,Rp358.500,E,Pastikan PPN atau biaya layanan dihitung dari basis yang benar.,Basis perhitungan setelah potongan adalah Rp300.000.,,Subtotal = Rp300.000. PPN = Rp33.000. Biaya layanan = Rp7.500. Ongkir = Rp18.000. Total = Rp358.500.,R1/R2
M1B-F15-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I3,3,Sulit,PG,Harga barang Rp500.000 mendapat diskon 30% dan voucher Rp20.000. Setelah itu dikenakan PPN 11% dan biaya layanan 3% serta ongkir Rp25.000. Total yang benar adalah ....,Rp330.000,Rp401.200,Rp376.200,Rp571.200,Rp426.200,B,Pastikan PPN atau biaya layanan dihitung dari basis yang benar.,Basis perhitungan setelah potongan adalah Rp330.000.,,Subtotal = Rp330.000. PPN = Rp36.300. Biaya layanan = Rp9.900. Ongkir = Rp25.000. Total = Rp401.200.,R1/R2
M1B-F16-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp450.000 mendapat diskon 20% mendapat voucher Rp30.000, dikenakan PPN 11%, biaya layanan 2%, dan ongkir Rp25.000. Total bayar adalah ....",Rp372.900,Rp475.000,Rp422.900,Rp330.000,Rp397.900,E,"Urutannya: potongan dahulu, lalu PPN/layanan, lalu ongkir.",Subtotal setelah potongan adalah Rp330.000.,,Subtotal = Rp330.000. PPN = Rp36.300. Biaya layanan = Rp6.600. Ongkir = Rp25.000. Total = Rp397.900.,R1/R2
M1B-F16-SL-V02,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp400.000 mendapat diskon 10%, dikenakan PPN 11%, biaya layanan 2%, dan ongkir Rp20.000. Total bayar adalah ....",Rp420.000,Rp360.000,Rp426.800,Rp406.800,Rp446.800,C,"Urutannya: potongan dahulu, lalu PPN/layanan, lalu ongkir.",Subtotal setelah potongan adalah Rp360.000.,,Subtotal = Rp360.000. PPN = Rp39.600. Biaya layanan = Rp7.200. Ongkir = Rp20.000. Total = Rp426.800.,R1/R2
M1B-F16-SL-V03,M1B,"PPN, Biaya Layanan, dan Ongkir",PRACTICE,I1,3,Sulit,PG,"Harga barang Rp600.000 mendapat diskon 25% mendapat voucher Rp50.000, dikenakan PPN 11%, biaya layanan 2%, dan ongkir Rp18.000. Total bayar adalah ....",Rp400.000,Rp618.000,Rp470.000,Rp452.000,Rp488.000,C,"Urutannya: potongan dahulu, lalu PPN/layanan, lalu ongkir.",Subtotal setelah potongan adalah Rp400.000.,,Subtotal = Rp400.000. PPN = Rp44.000. Biaya layanan = Rp8.000. Ongkir = Rp18.000. Total = Rp470.000.,R1/R2
M1B-PRE-SL-V01,M1B,"PPN, Biaya Layanan, dan Ongkir",PRETEST,I1,3,Sulit,PG,"Harga barang Rp450.000 mendapat diskon 20% mendapat voucher Rp30.000, dikenakan PPN 11%, biaya layanan 2%, dan ongkir Rp25.000. Total bayar adalah ....",Rp372.900,Rp475.000,Rp422.900,Rp330.000,Rp397.900,E,,,,Subtotal = Rp330.000. PPN = Rp36.300. Biaya layanan = Rp6.600. Ongkir = Rp25.000. Total = Rp397.900.,R1/R2
M1C-POST-MD-V03,M1C,"Untung, Rugi, dan Persentase",POSTTEST,I1,1,Mudah,PG,Modal dasar Rp150.000. Harga jual total Rp180.000. Persentase keuntungan terhadap modal total adalah ....,30%,15%,"16,67%",25%,20%,E,,,,Modal total = Rp150.000. Untung = Rp30.000. Persentase untung = Rp30.000 ÷ Rp150.000 × 100% = 20%.,R1
M1C-F17-MD-V01,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,Modal dasar sebuah transaksi adalah Rp50.000. Barang dijual dengan total Rp60.000. Kondisi transaksi tersebut adalah ....,Untung Rp5.000,Rugi Rp60.000,Impas,Rugi Rp15.000,Untung Rp10.000,E,Bandingkan harga jual dengan modal total.,"Jika ada biaya tambahan, tambahkan dulu ke modal sebelum menentukan untung/rugi.",,Modal total = Rp50.000. Harga jual = Rp60.000. Jadi untung rp10.000.,R2
M1C-F17-MD-V02,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,Modal dasar sebuah transaksi adalah Rp75.000. Barang dijual dengan total Rp70.000. Kondisi transaksi tersebut adalah ....,Untung Rp5.000,Impas,Rugi Rp10.000,Rugi Rp5.000,Rugi Rp2.500,D,Bandingkan harga jual dengan modal total.,"Jika ada biaya tambahan, tambahkan dulu ke modal sebelum menentukan untung/rugi.",,Modal total = Rp75.000. Harga jual = Rp70.000. Jadi rugi rp5.000.,R2
M1C-F17-MD-V03,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,Modal dasar sebuah transaksi adalah Rp100.000. Barang dijual dengan total Rp100.000. Kondisi transaksi tersebut adalah ....,Rugi Rp5.000,Rugi Rp100.000,Impas,Untung Rp0,Untung Rp1.000,C,Bandingkan harga jual dengan modal total.,"Jika ada biaya tambahan, tambahkan dulu ke modal sebelum menentukan untung/rugi.",,Modal total = Rp100.000. Harga jual = Rp100.000. Jadi impas.,R2
M1C-F18-MD-V01,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,"Modal dasar Rp80.000. Jika harga jual total Rp100.000, besar keuntungannya adalah ....",Rp10.000,Rp100.000,Rp80.000,Rp20.000,Rp40.000,D,Untung = harga jual − modal total.,Modal total = Rp80.000.,,Untung = Rp100.000 − Rp80.000 = Rp20.000.,R2
M1C-F18-MD-V02,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,"Modal dasar Rp120.000. Jika harga jual total Rp150.000, besar keuntungannya adalah ....",Rp15.000,Rp30.000,Rp120.000,Rp150.000,Rp60.000,B,Untung = harga jual − modal total.,Modal total = Rp120.000.,,Untung = Rp150.000 − Rp120.000 = Rp30.000.,R2
M1C-F18-MD-V03,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,"Modal dasar Rp45.000. Jika harga jual total Rp60.000, besar keuntungannya adalah ....",Rp7.500,Rp15.000,Rp45.000,Rp60.000,Rp30.000,B,Untung = harga jual − modal total.,Modal total = Rp45.000.,,Untung = Rp60.000 − Rp45.000 = Rp15.000.,R2
M1C-F19-MD-V01,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,Modal dasar Rp100.000. Barang dijual dengan total Rp85.000. Besar kerugian sebenarnya adalah ....,Rp25.000,Rp7.500,Rp100.000,Rp30.000,Rp15.000,E,Rugi = modal total − harga jual.,Modal total = Rp100.000.,,Rugi = Rp100.000 − Rp85.000 = Rp15.000.,R2
M1C-F19-MD-V02,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,Modal dasar Rp75.000. Barang dijual dengan total Rp60.000. Besar kerugian sebenarnya adalah ....,Rp15.000,Rp25.000,Rp75.000,Rp7.500,Rp30.000,A,Rugi = modal total − harga jual.,Modal total = Rp75.000.,,Rugi = Rp75.000 − Rp60.000 = Rp15.000.,R2
M1C-F19-MD-V03,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,Modal dasar Rp150.000. Barang dijual dengan total Rp120.000. Besar kerugian sebenarnya adalah ....,Rp40.000,Rp15.000,Rp150.000,Rp60.000,Rp30.000,E,Rugi = modal total − harga jual.,Modal total = Rp150.000.,,Rugi = Rp150.000 − Rp120.000 = Rp30.000.,R2
M1C-F20-MD-V01,M1C,"Untung, Rugi, dan Persentase",PRACTICE,I1,1,Mudah,PG,Modal dasar Rp100.000. Harga jual total Rp120.000. Persentase keuntungan terhadap modal total adalah ....,30%,15%,"16,67%",25%,20%,E,Hitung besar untung terlebih dahulu.,Persentase untung = untung ÷ modal total × 100%.,,Modal total = Rp100.000. Untung = Rp20.000. Persentase untung = Rp20.000 ÷ Rp100.000 × 100% = 20%.,R1
